LGA_CODE,STATE,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT
16260,New South Wales,15789,15257,31046,11.272811776068787,29386,1660,5.648948478867489,15030,48.41203375636153,14281,749,5.24473076115118
16350,New South Wales,15606,15247,30853,13.476574443735858,29627,1226,4.138117257906639,14944,48.436132628917775,14380,564,3.9221140472879004
16380,New South Wales,4710,5438,10148,11.143810946147765,10069,79,0.7845863541563214,4906,48.344501379582184,4909,-3,-0.06111224281931147
16400,New South Wales,4270,4728,8998,11.382957190567756,9218,-220,-2.386634844868735,4323,48.044009779951104,4446,-123,-2.766531713900135
16490,New South Wales,4504,4205,8709,13.074809710399496,7805,904,11.582319026265214,4212,48.36376162590424,3764,448,11.902231668437832
16550,New South Wales,6322,6861,13183,9.108559268164608,14548,-1365,-9.382733021721199,6496,49.275582189183034,7078,-582,-8.22266176886126
16610,New South Wales,1338,1670,3008,12.550066755674234,3154,-146,-4.629042485732404,1405,46.70877659574468,1571,-166,-10.566518141311267
16700,New South Wales,7052,6711,13763,9.885366239064544,13465,298,2.213145191236539,6603,47.97645862094021,6439,164,2.5469793446187294
16900,New South Wales,5129,5383,10512,12.87146897843735,9743,769,7.89284614595094,5036,47.90715372907154,4716,320,6.785411365564037
16950,New South Wales,5804,6077,11881,10.705436065632856,11927,-46,-0.38567955059948017,5752,48.41343321269254,5790,-38,-0.6563039723661486
17000,New South Wales,1707,1860,3567,13.891268790404238,3538,29,0.819672131147541,1728,48.44407064760303,1716,12,0.6993006993006993
17040,New South Wales,1132,1336,2468,11.064783680789061,2576,-108,-4.192546583850932,1168,47.3257698541329,1192,-24,-2.013422818791946
17080,New South Wales,895,1005,1900,12.625423616187122,1900,0,0.0,961,50.578947368421055,919,42,4.570184983677911
17100,New South Wales,2091,2165,4256,8.76856830871294,4348,-92,-2.1159153633854646,2077,48.80169172932331,2130,-53,-2.488262910798122
17150,New South Wales,14171,14953,29124,12.195367066981559,29393,-269,-0.9151838873201102,13919,47.792198873781075,14148,-229,-1.618603336160588
17200,New South Wales,4710,4078,8788,3.6993226888704607,8857,-69,-0.7790448233036017,4265,48.53208921256258,4374,-109,-2.4919981710105166
17310,New South Wales,4384,4633,9017,13.650745590795548,9024,-7,-0.07757092198581561,4284,47.51025840079849,4323,-39,-0.9021512838306732
